"129","Mikhail","n","mˈiːkaɪl"
"130","Colo","n","kˈɒlou"
"131","refinancing","n","riːfˈaɪnənsɪŋ"
"132","Societe","n","sˈəsˈaɪəteɪ"
"133","Robertson","n","rˈɒbətssən"
"134","Pfeiffer","n","fˈaɪfɜː"
"135","Oppenheimer","n","ˈɒpənhaɪmɜː"
"136","Evans","n","ˈevənz"
"137","Dataproducts","n","dˈeɪtə-prˈɒdʌkts"
"138","Bradstreet","n","brˈæd-strˈiːt"
"139","Antonio","n","æntˈounjou"
"140","franchisees","n","frˈæntʃaɪzˈiːz"
"141","ex","n","ˈeks"
"142","arbitragers","n","ˈɑːbətrˈeɪdʒɜːz"
"143","Motorola","n","moutərˈoulə"
"144","Macmillan","n","məkmˈɪlən"
"145","Jacobson","n","dʒˈeɪkəbsən"
"146","Indosuez","n","ˈɪndousˈuːez"
"147","Hughes","n","hjˈuːz"
"148","Florio","n","flɔːrɪou"
"149","Spiegel","n","spˈiːgəl"
"150","Rico","n","rˈiːkou"
"151","Palo","n","pˈælou"
"152","Madison","n","mˈædəsən"
"153","HealthVest","n","hˈelθ-vˈest"
"154","Fuji","n","fˈuːdʒiː"
"155","Deloitte","n","dˈelɔɪt"
"156","Amoco","n","ˈæmoukou"
"157","equaling","n","ˈiːkwəlɪŋ"
"158","Wallach","n","wˈɔːlək"
"159","Upjohn","n","ˈʌpdʒɒn"
"160","Tele","n","tˈeliː"
"161","Rubicam","n","rˈuːbəkˈæm"
"162","Pemex","n","pˈemˈeks"
"163","Meredith","n","mˈerədəθ"
"164","Lorenzo","n","lɔːrˈenzou"
"165","Levine","n","ləvˈaɪn"
"166","Ingersoll","n","ˈɪŋgəsəl"
"167","Eurocom","n","jˈuːrəkɒm"
"168","Chevrolet","n","ʃˈevrəleɪ"
"169","federally","n","fˈedrəliː"
"170","anymore","n","ˈeniːmˈɔːr"
"171","Toshiba","n","touʃˈiːbə"
"172","Suisse","n","swˈiːs"
"173","Sansui","n","sˈænsuːˈiː"
"174","Panzhihua","n","pˈænzˈiːwˈæ"
"175","Goldberg","n","gˈouldbɜːg"
"176","Garcia","n","gɑːsˈiːɜː"
"177","Eli","n","ˈiːlaɪ"
"178","Della","n","dˈelə"
"179","Buick","n","bjˈuːɪk"
"180","debacle","n","deɪbˈʌkəl"
"181","cholesterol","n","kɒlˈestrəl"
"182","Vitro","n","vˈiːtrou"
"183","Revco","n","rˈevkou"
"184","Nashua","n","nˈæʃwə"
"185","Mitsui","n","mɪtsˈuːiː"
"186","Lexus","n","lˈeksəs"
"187","Healthcare","n","hˈelθ-keər"
